x,cons,son,voice,rnd,ant,dist,high,back,low,atr,rtr,cont,delr,lat,nas,strid,sg,cg,trill,flap,lab,cor,dors,lar,tr
̩̩y̤,0,1,1,1,-1,-1,1,0,0,1,0,1,-1,0,0,1,1,0,-1,-1,1,0,1,0,0
ỹ,0,1,1,1,-1,-1,1,0,0,1,0,1,-1,0,1,1,0,1,-1,-1,1,0,1,0,0
ɪ̥,0,1,0,0,-1,-1,1,0,0,0,1,1,-1,0,0,0,0,0,-1,-1,0,0,1,0,0
ɪ̰,0,1,0,0,-1,-1,1,0,0,0,1,1,-1,0,0,0,0,1,-1,-1,0,0,1,0,0
ɪ̤,0,1,1,0,-1,-1,1,0,0,0,1,1,-1,0,0,1,1,0,-1,-1,0,0,1,0,0
ɪ̃,0,1,1,0,-1,-1,1,0,0,0,1,1,-1,0,1,1,0,1,-1,-1,0,0,1,0,0
̥ʏ̥,0,1,0,1,-1,-1,1,0,0,0,1,1,-1,0,0,0,0,0,-1,-1,1,0,1,0,0
ʏ̰,0,1,0,1,-1,-1,1,0,0,0,1,1,-1,0,0,0,0,1,-1,-1,1,0,1,0,0
ʏ̤,0,1,1,1,-1,-1,1,0,0,0,1,1,-1,0,0,1,1,0,-1,-1,1,0,1,0,0
ʏ̃,0,1,1,1,-1,-1,1,0,0,0,1,1,-1,0,1,1,0,1,-1,-1,1,0,1,0,0
e̥,0,1,0,0,-1,-1,0,0,0,1,0,1,-1,0,0,0,0,0,-1,-1,0,0,1,0,0
ḛ,0,1,0,0,-1,-1,0,0,0,1,0,1,-1,0,0,0,0,1,-1,-1,0,0,1,0,0
e̤,0,1,1,0,-1,-1,0,0,0,1,0,1,-1,0,0,1,1,0,-1,-1,0,0,1,0,0
ẽ,0,1,1,0,-1,-1,0,0,0,1,0,1,-1,0,1,1,0,1,-1,-1,0,0,1,0,0
ø̥,0,1,0,1,-1,-1,0,0,0,1,0,1,-1,0,0,0,0,0,-1,-1,1,0,1,0,0
ø̰,0,1,0,1,-1,-1,0,0,0,1,0,1,-1,0,0,0,0,1,-1,-1,1,0,1,0,0
ø̤,0,1,1,1,-1,-1,0,0,0,1,0,1,-1,0,0,1,1,0,-1,-1,1,0,1,0,0
ø̃,0,1,1,1,-1,-1,0,0,0,1,0,1,-1,0,1,1,0,1,-1,-1,1,0,1,0,0
ɛ̥,0,1,0,0,-1,-1,0,0,0,0,1,1,-1,0,0,0,0,0,-1,-1,0,0,1,0,0
ɛ̰,0,1,0,0,-1,-1,0,0,0,0,1,1,-1,0,0,0,0,1,-1,-1,0,0,1,0,0
ɛ̤,0,1,1,0,-1,-1,0,0,0,0,1,1,-1,0,0,1,1,0,-1,-1,0,0,1,0,0
ɛ̃,0,1,1,0,-1,-1,0,0,0,0,1,1,-1,0,1,1,0,1,-1,-1,0,0,1,0,0
œ̥,0,1,0,1,-1,-1,0,0,0,0,1,1,-1,0,0,0,0,0,-1,-1,1,0,1,0,0
œ̰,0,1,0,1,-1,-1,0,0,0,0,1,1,-1,0,0,0,0,1,-1,-1,1,0,1,0,0
œ̤,0,1,1,1,-1,-1,0,0,0,0,1,1,-1,0,0,1,1,0,-1,-1,1,0,1,0,0
œ̃,0,1,1,1,-1,-1,0,0,0,0,1,1,-1,0,1,1,0,1,-1,-1,1,0,1,0,0
æ̥,0,1,0,0,-1,-1,0,0,1,0,1,1,-1,0,0,0,0,0,-1,-1,0,0,1,0,0
æ̰,0,1,0,0,-1,-1,0,0,1,0,1,1,-1,0,0,0,0,1,-1,-1,0,0,1,0,0
æ̤,0,1,1,0,-1,-1,0,0,1,0,1,1,-1,0,0,1,1,0,-1,-1,0,0,1,0,0
æ̃,0,1,1,0,-1,-1,0,0,1,0,1,1,-1,0,1,1,0,1,-1,-1,0,0,1,0,0
ɶ̥,0,1,0,1,-1,-1,0,0,1,0,1,1,-1,0,0,0,0,0,-1,-1,1,0,1,0,0
ɶ̰,0,1,0,1,-1,-1,0,0,1,0,1,1,-1,0,0,0,0,1,-1,-1,1,0,1,0,0
ɶ̤,0,1,1,1,-1,-1,0,0,1,0,1,1,-1,0,0,1,1,0,-1,-1,1,0,1,0,0
